price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county,cluster
649000,3,3,0.19,Great Barrington,1230,1876,01/11/2012,Berkshire,pink
179900,5,2,0.11,Springfield,1109,1892,21/06/2001,Hampden,pink
565000,4,3,1.74,Great Barrington,1230,2073,02/08/2006,Berkshire,pink
725000,5,4,0.5,West Springfield,1089,5694,15/05/1987,Hampden,dark purple
139900,2,1,0.11,Springfield,1104,944,06/07/2004,Hampden,pink
339900,3,3,0.4,Longmeadow,1106,2397,30/07/1999,Hampden,pink
250000,6,3,0.15,Springfield,1109,3696,20/12/1982,Hampden,dark purple
250000,4,2,0.11,Springfield,1108,1806,30/10/1998,Hampden,pink
349900,4,2,0.24,West Springfield,1089,2002,02/01/2019,Hampden,pink
749900,5,5,0.75,Westfield,1085,3213,13/02/2004,Hampden,dark purple
234900,3,1,0.14,Springfield,1104,1063,25/06/2003,Hampden,pink
349000,3,2,2,Sandisfield,1255,1504,06/04/2007,Berkshire,pink
239900,3,2,0.12,Springfield,1109,1248,10/12/1992,Hampden,pink
223500,4,1,0.1,Springfield,1109,1848,22/04/1996,Hampden,pink
394900,3,4,0.44,Longmeadow,1106,2025,13/05/2005,Hampden,pink
324900,4,4,0.37,Westfield,1085,2160,30/08/1991,Hampden,dark purple
329000,3,2,0.5,Westfield,1085,1688,09/07/2004,Hampden,pink
459900,4,2,0.58,Longmeadow,1106,1662,07/05/2004,Hampden,pink
139000,2,2,0.88,Sheffield,1222,1193,25/04/1994,Berkshire,pink
269000,5,2,0.11,Springfield,1108,1634,12/10/2021,Hampden,pink
249900,3,2,0.11,Springfield,1108,1902,20/09/1983,Hampden,pink
539000,3,4,1.11,Westfield,1085,3577,28/02/1997,Hampden,dark purple
589000,2,2,3.96,Tyringham,1264,1716,28/06/2012,Berkshire,pink
324900,5,3,0.59,Westfield,1085,2287,02/10/1989,Hampden,dark purple
529900,4,3,0.39,Longmeadow,1106,2584,03/07/2000,Hampden,pink
265000,4,3,0.11,Springfield,1108,1728,04/11/2011,Hampden,pink
699900,4,3,0.39,Longmeadow,1106,3264,25/11/2009,Hampden,dark purple
70000,7,3,0.11,Springfield,1109,3035,20/08/1978,Hampden,dark purple
324900,3,1,0.21,West Springfield,1089,1588,31/03/2006,Hampden,pink
409000,3,2,1.25,Otis,1253,1792,22/04/2005,Berkshire,pink
449900,3,2,0.41,Longmeadow,1106,1817,17/01/1997,Hampden,pink
235000,4,3,0.13,Springfield,1109,1625,14/11/2005,Hampden,pink
445000,8,6,0.13,Springfield,1108,8369,31/12/2013,Hampden,dark purple
219900,4,1,0.65,Westfield,1085,2120,31/08/1999,Hampden,pink
237900,2,2,1,Westfield,1085,1341,05/01/2022,Hampden,pink
289900,4,2,0.11,Springfield,1104,1742,27/03/1998,Hampden,pink
825000,5,4,0.48,Longmeadow,1106,3657,22/04/2002,Hampden,dark purple
15500000,3,5,298,New Marlborough,1259,4273,28/01/2011,Berkshire,purple
225000,4,2,0.14,Springfield,1104,1399,09/07/2007,Hampden,pink
190000,6,2,0.14,Springfield,1108,2508,17/12/2009,Hampden,dark purple
250000,6,2,0.62,Russell,1071,2520,12/08/2016,Hampden,dark purple
284999,4,3,0.12,Springfield,1104,1360,31/03/2014,Hampden,pink
529000,3,2,0.18,Great Barrington,1230,1634,19/11/2004,Berkshire,pink
699900,4,4,0.62,Longmeadow,1106,2712,19/04/2016,Hampden,dark purple
179900,3,2,0.95,North Adams,1247,1200,28/05/2009,Berkshire,pink
249000,3,2,0.37,North Adams,1247,1440,15/03/1989,Berkshire,pink
185000,4,1,0.28,North Adams,1247,1357,12/01/2006,Berkshire,pink
85000,3,2,0.14,North Adams,1247,1525,26/08/1987,Berkshire,pink
599000,4,3,2.5,Florida,1247,2351,19/03/2012,Berkshire,pink
450000,6,3,0.21,North Adams,1247,4742,27/05/2003,Berkshire,dark purple
179500,3,2,4,Hubbardston,1452,2284,28/11/1994,Worcester,pink
480000,3,3,0.34,Palmer,1069,3390,25/01/2002,Hampden,pink
180000,4,4,0.23,Ware,1082,2145,05/03/1990,Hampshire,dark purple
1249000,3,4,1.4,Wilbraham,1095,4936,15/05/2009,Hampden,dark purple
169900,4,2,0.08,Ware,1082,1884,25/10/2000,Hampshire,pink
899900,3,3,14.88,Westminster,1473,4342,08/02/1999,Worcester,dark purple
465000,3,3,1.2,Palmer,1069,2370,13/12/2005,Hampden,pink
229900,5,4,0.16,Ware,1082,4341,04/05/2006,Hampshire,dark purple
315000,2,1,1.3,Westminster,1473,895,01/11/2010,Worcester,pink
300000,3,1,3.06,Oakham,1068,864,12/04/2002,Worcester,pink
179999,4,2,0.05,Ware,1082,3396,27/06/2005,Hampshire,pink
205000,4,2,0.35,Ware,1082,1965,09/07/2004,Hampshire,pink
234900,4,1,0.85,Ware,1082,1921,17/06/2005,Hampshire,pink
329900,3,2,0.62,West Brookfield,1585,1650,16/04/1999,Worcester,pink
189000,4,2,0.15,Palmer,1069,1922,20/09/2021,Hampden,pink
399000,4,2,3.25,Ware,1082,2200,08/05/1991,Hampshire,pink
335000,8,3,0.39,Palmer,1069,4841,11/05/2015,Hampden,dark purple
1150000,5,4,1.99,Wilbraham,1095,6011,19/10/2007,Hampden,dark purple
475000,4,3,0.9,Wilbraham,1095,2507,01/08/2005,Hampden,pink
289900,6,2,0.56,West Brookfield,1585,2976,28/07/1998,Worcester,dark purple
799900,3,3,0.14,West Brookfield,1585,2600,29/07/2005,Worcester,pink
369900,2,1,0.32,North Brookfield,1535,915,01/09/2006,Worcester,pink
490000,3,2,1.3,Hancock,1237,1888,15/05/2009,Berkshire,pink
179900,4,1,0.24,Pittsfield,1201,1350,31/01/1996,Berkshire,pink
219900,4,3,0.29,Pittsfield,1201,2511,09/06/2008,Berkshire,pink
579900,1,4,4.2,Williamstown,1267,9800,30/09/1992,Berkshire,dark purple
149900,3,2,0.08,Pittsfield,1201,1120,30/08/2001,Berkshire,pink
217900,2,1,0.18,Pittsfield,1201,1040,28/11/2007,Berkshire,pink
139900,8,2,0.26,Pittsfield,1201,2016,03/12/1987,Berkshire,dark purple
119900,5,2,0.24,North Adams,1247,2623,23/01/2004,Berkshire,pink
165000,3,2,0.21,Pittsfield,1201,1230,11/08/2008,Berkshire,pink
149900,3,2,0.08,North Adams,1247,1950,30/07/2004,Berkshire,pink
59900,3,1,0.32,Pittsfield,1201,1105,27/08/1987,Berkshire,pink
285000,6,3,0.26,Pittsfield,1201,2800,12/06/2007,Berkshire,dark purple
549000,4,2,0.41,Williamstown,1267,1545,07/04/2006,Berkshire,pink
315000,2,2,3.8,Clarksburg,1247,1215,12/07/1996,Berkshire,pink
589900,4,3,0.76,Pittsfield,1201,2582,22/05/2009,Berkshire,pink
700000,4,3,0.45,Williamstown,1267,2822,01/08/2005,Berkshire,pink
159900,4,2,0.22,Pittsfield,1201,1870,04/01/2002,Berkshire,pink
3200000,4,6,34,Williamstown,1267,7289,12/11/1999,Berkshire,purple
175000,6,4,0.22,Pittsfield,1201,2448,12/08/2002,Berkshire,dark purple
119900,3,2,0.17,Pittsfield,1201,1144,06/09/2007,Berkshire,pink
159000,2,2,0.18,Pittsfield,1201,1455,31/01/1986,Berkshire,pink
126000,3,1,2.8,Clarksburg,1247,1520,17/02/2009,Berkshire,pink
213900,4,2,0.18,Pittsfield,1201,2023,22/06/2007,Berkshire,pink
229000,3,1,0.11,North Adams,1247,1548,15/06/1995,Berkshire,pink
599000,4,4,3.34,Lee,1238,3381,28/07/2008,Berkshire,dark purple
784900,6,2,0.16,Pittsfield,1201,2220,23/06/2008,Berkshire,dark purple
275000,8,4,0.42,Pittsfield,1201,3752,25/03/2003,Berkshire,dark purple
249900,4,2,0.93,Clarksburg,1247,1404,25/02/2009,Berkshire,pink
59900,2,1,1,Clarksburg,1247,672,01/02/1999,Berkshire,pink
699900,5,3,0.51,Pittsfield,1201,5023,19/10/1987,Berkshire,dark purple
359900,3,2,0.41,Williamstown,1267,1684,05/10/2001,Berkshire,pink
299900,5,4,0.16,Pittsfield,1201,3071,01/10/2004,Berkshire,dark purple
49999,4,2,0.1,North Adams,1247,1822,12/06/2000,Berkshire,pink
289500,3,2,0.18,Pittsfield,1201,1750,01/12/1978,Berkshire,pink
375000,5,2,0.6,Westfield,1085,2700,16/07/2007,Hampden,pink
389000,5,2,0.2,Pittsfield,1201,2304,03/12/1993,Berkshire,pink
259799,4,2,0.27,Springfield,1119,2104,12/02/1999,Hampden,pink
307900,3,2,1.1,Hampden,1036,1905,15/05/2000,Hampden,pink
229900,4,2,0.13,Springfield,1151,1644,20/06/1987,Hampden,pink
