,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county
841,499900.0,4.0,3.0,0.42,Milford,1757.0,2104.0,1988-03-18,Worcester
842,425000.0,4.0,2.0,1.09,Uxbridge,1569.0,1596.0,2002-08-20,Worcester
843,535000.0,3.0,3.0,21.67,Grafton,1536.0,1846.0,2020-10-06,Worcester
844,599000.0,3.0,2.0,1.56,Framingham,1701.0,1620.0,2003-06-02,Middlesex
845,775000.0,3.0,2.0,0.9,Sudbury,1776.0,2092.0,2002-05-31,Middlesex
846,399000.0,5.0,2.0,1.0,Westborough,1581.0,2074.0,2002-01-24,Worcester
847,950000.0,4.0,5.0,1.24,Southborough,1772.0,5169.0,2000-11-15,Worcester
848,650000.0,5.0,4.0,1.15,Westborough,1581.0,3445.0,2002-09-23,Worcester
849,789900.0,5.0,4.0,0.56,Framingham,1702.0,5000.0,2007-07-18,Middlesex
850,850000.0,4.0,3.0,1.59,Hopkinton,1748.0,3030.0,1992-07-16,Middlesex
851,1090000.0,4.0,4.0,1.16,Sudbury,1776.0,4100.0,1993-03-31,Middlesex
852,4795000.0,3.0,4.0,109.22,Upton,1568.0,4770.0,1992-09-24,Worcester
853,780000.0,3.0,3.0,0.48,Wayland,1778.0,1894.0,2008-04-25,Middlesex
854,1699900.0,4.0,4.0,1.75,Hopkinton,1748.0,3900.0,1995-10-16,Middlesex
855,525000.0,3.0,1.0,0.42,Westborough,1581.0,1922.0,1998-06-22,Worcester
856,2600000.0,5.0,6.0,1.0,Sudbury,1776.0,8795.0,2001-01-03,Middlesex
857,529000.0,3.0,2.0,0.23,Framingham,1702.0,1476.0,1987-02-01,Middlesex
858,599900.0,3.0,2.0,0.21,Framingham,1702.0,1536.0,2003-10-06,Middlesex
859,599900.0,4.0,3.0,0.38,Hopkinton,1748.0,2124.0,1988-03-02,Middlesex
860,995000.0,3.0,2.0,0.46,Concord,1742.0,2003.0,2001-09-05,Middlesex
861,1548000.0,4.0,5.0,0.48,Concord,1742.0,3450.0,2003-05-01,Middlesex
862,475000.0,4.0,2.0,1.3,Douglas,1516.0,2167.0,2006-12-19,Worcester
863,649900.0,4.0,3.0,0.41,Framingham,1702.0,2819.0,2006-04-28,Middlesex
864,499900.0,3.0,2.0,0.21,Framingham,1701.0,1532.0,2009-03-31,Middlesex
865,875000.0,4.0,3.0,1.0,Framingham,1701.0,2868.0,1986-07-01,Middlesex
866,975000.0,4.0,3.0,1.53,Wayland,1778.0,2684.0,1994-08-19,Middlesex
867,7200000.0,6.0,12.0,7.11,Concord,1742.0,12806.0,1995-06-30,Middlesex
868,679900.0,4.0,3.0,0.46,Framingham,1701.0,1934.0,2006-09-29,Middlesex
869,3200000.0,4.0,5.0,1.84,Concord,1742.0,5158.0,1994-01-28,Middlesex
870,899900.0,5.0,4.0,0.42,Framingham,1701.0,4279.0,2000-01-18,Middlesex
871,659000.0,4.0,2.0,0.85,Westborough,1581.0,1948.0,2003-06-27,Worcester
872,349900.0,3.0,2.0,3.77,Northbridge,1534.0,1728.0,1991-06-03,Worcester
873,815000.0,3.0,3.0,0.11,Hopkinton,1748.0,2556.0,2004-04-01,Middlesex
874,689900.0,3.0,3.0,0.23,Framingham,1701.0,2073.0,2002-12-13,Middlesex
875,1579900.0,5.0,4.0,1.15,Hopkinton,1748.0,5291.0,2001-08-16,Middlesex
876,4975000.0,5.0,7.0,4.76,Wayland,1778.0,8401.0,1997-03-10,Middlesex
877,670000.0,4.0,3.0,0.92,Grafton,1560.0,2578.0,2005-09-30,Worcester
878,675000.0,4.0,3.0,0.95,Hopkinton,1748.0,2060.0,1993-11-08,Middlesex
879,1750000.0,4.0,4.0,0.46,Concord,1742.0,4202.0,1996-08-16,Middlesex
880,399900.0,3.0,2.0,0.65,Uxbridge,1569.0,1878.0,2003-11-04,Worcester
881,699900.0,4.0,4.0,1.05,Milford,1757.0,3764.0,1990-05-02,Worcester
882,469900.0,3.0,2.0,0.19,Ashland,1721.0,1084.0,1998-06-01,Middlesex
883,600000.0,4.0,2.0,0.69,Westborough,1581.0,1829.0,2005-07-26,Worcester
884,1295000.0,5.0,3.0,2.76,Lincoln,1773.0,3487.0,2000-06-09,Middlesex
885,615000.0,4.0,3.0,0.21,Framingham,1701.0,2137.0,1984-06-01,Middlesex
886,899000.0,3.0,3.0,4.74,Concord,1742.0,1809.0,1995-08-31,Middlesex
887,574900.0,3.0,3.0,0.67,Grafton,1560.0,3176.0,2003-10-01,Worcester
888,479900.0,3.0,3.0,0.23,Northbridge,1588.0,2240.0,1997-06-20,Worcester
889,320000.0,4.0,1.0,0.18,Northbridge,1588.0,1673.0,2009-06-08,Worcester
890,599900.0,3.0,2.0,0.32,Framingham,1701.0,2194.0,2005-07-01,Middlesex
891,675000.0,4.0,2.0,0.29,Westborough,1581.0,2317.0,1997-12-02,Worcester
892,615000.0,4.0,2.0,1.16,Ashland,1721.0,1632.0,2009-07-31,Middlesex
893,1095000.0,3.0,3.0,0.14,Concord,1742.0,2047.0,2001-03-21,Middlesex
894,324900.0,2.0,1.0,0.11,Worcester,1606.0,908.0,2018-02-13,Worcester
895,330000.0,2.0,2.0,0.45,Upton,1568.0,1492.0,2010-12-14,Worcester
896,449900.0,3.0,2.0,2.03,Sutton,1590.0,2043.0,2002-06-04,Worcester
897,289000.0,2.0,1.0,0.35,Oxford,1537.0,1056.0,2008-04-10,Worcester
898,279900.0,2.0,2.0,0.1,Worcester,1603.0,1330.0,2005-04-01,Worcester
899,309900.0,2.0,2.0,0.23,Auburn,1501.0,1000.0,2008-08-04,Worcester
900,499900.0,3.0,3.0,0.18,Upton,1568.0,2133.0,1993-06-24,Worcester
901,799000.0,2.0,2.0,0.05,Concord,1742.0,1112.0,2008-09-04,Middlesex
902,850000.0,4.0,4.0,1.22,Hopkinton,1748.0,2292.0,1989-06-08,Middlesex
903,549900.0,4.0,3.0,0.49,Northbridge,1588.0,1888.0,2008-10-14,Worcester
904,299000.0,3.0,2.0,0.27,Worcester,1607.0,1302.0,2005-07-06,Worcester
905,849500.0,4.0,3.0,0.46,Framingham,1701.0,2762.0,2008-02-28,Middlesex
906,1295000.0,4.0,3.0,0.67,Sudbury,1776.0,4335.0,2005-08-01,Middlesex
907,1299900.0,4.0,3.0,0.58,Wayland,1778.0,2805.0,1992-08-31,Middlesex
908,6250000.0,6.0,7.0,2.28,Weston,2493.0,12544.0,2008-04-01,Middlesex
909,1799900.0,4.0,4.0,0.62,Burlington,1803.0,4297.0,2005-08-23,Middlesex
910,5295000.0,6.0,8.0,1.44,Weston,2493.0,10016.0,1996-05-22,Middlesex
911,8499000.0,5.0,9.0,2.17,Weston,2493.0,8809.0,2006-08-18,Middlesex
912,3500000.0,6.0,8.0,0.37,Lexington,2420.0,6687.0,2005-12-29,Middlesex
913,3849000.0,7.0,9.0,0.71,Lexington,2420.0,6662.0,1999-01-11,Middlesex
914,9995000.0,6.0,10.0,2.62,Weston,2493.0,11942.0,2006-10-12,Middlesex
915,4288000.0,6.0,8.0,0.79,Lexington,2420.0,6800.0,1997-07-14,Middlesex
916,2650000.0,6.0,4.0,3.5,Lexington,2420.0,3041.0,2005-11-22,Middlesex
917,799900.0,3.0,3.0,0.46,Burlington,1803.0,1942.0,2004-09-21,Middlesex
918,619000.0,4.0,2.0,0.3,Burlington,1803.0,1766.0,1991-10-28,Middlesex
919,1390000.0,4.0,4.0,1.16,Lincoln,1773.0,4515.0,1987-03-27,Middlesex
920,1245000.0,3.0,3.0,0.48,Winchester,1890.0,2168.0,2007-06-25,Middlesex
921,1475000.0,4.0,3.0,0.93,Concord,1742.0,4450.0,1997-07-08,Middlesex
922,624900.0,2.0,3.0,5.5,Bedford,1730.0,1706.0,2006-11-21,Middlesex
923,5795000.0,5.0,8.0,1.38,Weston,2493.0,7146.0,2008-07-17,Middlesex
924,724900.0,3.0,2.0,0.47,Burlington,1803.0,1911.0,1992-05-29,Middlesex
925,1299000.0,4.0,5.0,0.32,Woburn,1801.0,4323.0,1998-07-22,Middlesex
926,1399000.0,4.0,3.0,0.51,Lexington,2421.0,2361.0,2021-07-16,Middlesex
927,1999000.0,4.0,4.0,0.98,Winchester,1890.0,4662.0,1993-07-15,Middlesex
928,1896000.0,6.0,5.0,0.98,Bedford,1730.0,4828.0,1995-10-27,Middlesex
929,3200000.0,5.0,9.0,4.32,Lincoln,1773.0,14600.0,1997-09-05,Middlesex
930,1195000.0,3.0,3.0,0.09,Lexington,2420.0,1880.0,2002-07-29,Middlesex
931,1629000.0,8.0,5.0,2.5,Bedford,1730.0,4952.0,1999-08-17,Middlesex
932,629900.0,3.0,3.0,0.07,Waltham,2451.0,2374.0,2007-07-31,Middlesex
933,1699900.0,4.0,4.0,0.24,Woburn,1801.0,4200.0,1985-07-01,Middlesex
934,679900.0,3.0,2.0,0.72,Burlington,1803.0,2070.0,2002-06-27,Middlesex
935,649000.0,3.0,2.0,0.11,Waltham,2453.0,1352.0,2002-12-23,Middlesex
936,1575000.0,4.0,3.0,0.36,Lexington,2421.0,4000.0,1995-10-30,Middlesex
937,3248000.0,7.0,5.0,0.39,Lexington,2420.0,6682.0,1968-07-01,Middlesex
938,1800000.0,4.0,3.0,0.64,Lexington,2420.0,3623.0,2008-02-19,Middlesex
939,18899000.0,9.0,9.0,18.48,Weston,2493.0,12589.0,2000-09-05,Middlesex
940,1780000.0,5.0,4.0,0.46,Waltham,2452.0,5481.0,2008-06-06,Middlesex
941,1748000.0,5.0,4.0,0.23,Bedford,1730.0,4312.0,1997-06-06,Middlesex
942,2450000.0,6.0,8.0,0.15,Lexington,2420.0,5000.0,1988-12-15,Middlesex
943,574900.0,3.0,2.0,0.28,Lowell,1851.0,1400.0,1999-05-25,Middlesex
944,1899999.0,4.0,4.0,0.46,Burlington,1803.0,5050.0,1987-06-11,Middlesex
945,439900.0,2.0,1.0,0.07,Waltham,2451.0,1049.0,1993-12-31,Middlesex
946,829900.0,3.0,2.0,0.38,Waltham,2452.0,2526.0,1999-11-15,Middlesex
947,1695000.0,4.0,4.0,1.1,Waltham,2452.0,4395.0,1997-12-08,Middlesex
948,639900.0,4.0,2.0,2.3,Billerica,1821.0,2602.0,1992-11-06,Middlesex
949,664900.0,4.0,3.0,1.0,Tewksbury,1876.0,2128.0,1983-04-28,Middlesex
950,1150000.0,4.0,3.0,0.42,Lexington,2421.0,3224.0,2000-06-26,Middlesex
951,789900.0,4.0,2.0,0.24,Woburn,1801.0,1638.0,1996-09-16,Middlesex
952,589900.0,4.0,2.0,0.61,Billerica,1821.0,1823.0,1999-01-29,Middlesex
953,829000.0,4.0,3.0,0.92,Bedford,1730.0,2235.0,1980-04-30,Middlesex
954,939000.0,3.0,3.0,0.35,Winchester,1890.0,2342.0,1981-07-01,Middlesex
955,629900.0,3.0,2.0,0.54,Burlington,1803.0,1350.0,2012-12-21,Middlesex
956,1399000.0,4.0,2.0,0.39,Winchester,1890.0,2760.0,2006-07-06,Middlesex
957,899000.0,4.0,4.0,0.69,Bedford,1730.0,2514.0,2004-08-02,Middlesex
958,1800000.0,4.0,5.0,0.92,Natick,1760.0,6300.0,2008-08-20,Middlesex
959,980000.0,3.0,2.0,0.15,Wellesley,2482.0,1965.0,2005-07-22,Norfolk
960,580000.0,3.0,2.0,0.16,Framingham,1702.0,1976.0,1997-03-28,Middlesex
961,1390000.0,5.0,3.0,0.74,Natick,1760.0,3715.0,2005-03-11,Middlesex
962,2700000.0,6.0,6.0,1.53,Weston,2493.0,6299.0,2007-09-18,Middlesex
