,price,bed,bath,acre_lot,house_size,clusters,cluster
2860,1398000.0,3.0,4.0,0.59,2689.0,0,pink
2861,789000.0,4.0,2.0,0.46,2309.0,0,pink
2862,699000.0,3.0,2.0,0.86,1656.0,0,pink
2863,1125000.0,4.0,4.0,0.51,2306.0,2,dark purple
2864,849000.0,4.0,2.0,0.67,1728.0,0,pink
2865,1625000.0,4.0,4.0,1.23,4278.0,2,dark purple
2866,950000.0,4.0,2.0,0.63,2066.0,0,pink
2867,550000.0,2.0,1.0,0.4,556.0,0,pink
2868,639900.0,3.0,2.0,0.48,1687.0,0,pink
2869,899000.0,4.0,4.0,0.39,2394.0,2,dark purple
2870,899900.0,3.0,2.0,0.93,1906.0,0,pink
2871,1300000.0,4.0,3.0,0.7,3405.0,2,dark purple
2872,415000.0,3.0,3.0,0.11,2518.0,0,pink
2873,190000.0,2.0,1.0,0.2,1040.0,0,pink
2874,360000.0,2.0,2.0,0.17,1040.0,0,pink
2875,539900.0,3.0,4.0,0.3,2316.0,0,pink
2876,575000.0,3.0,3.0,0.59,2051.0,0,pink
2877,367500.0,2.0,1.0,0.22,1056.0,0,pink
2878,895000.0,6.0,5.0,0.59,3636.0,2,dark purple
2879,1395000.0,3.0,2.0,0.14,2030.0,0,pink
2880,965000.0,2.0,2.0,0.43,2509.0,0,pink
2881,1200000.0,4.0,3.0,1.8,1404.0,0,pink
2882,929900.0,4.0,4.0,0.39,3332.0,2,dark purple
2883,425000.0,2.0,1.0,0.15,1172.0,0,pink
2884,425000.0,2.0,1.0,0.23,1270.0,0,pink
2885,439000.0,2.0,1.0,0.17,848.0,0,pink
2886,479900.0,2.0,1.0,0.23,864.0,0,pink
2887,750000.0,3.0,3.0,0.53,2312.0,0,pink
2888,175000.0,2.0,2.0,200.0,1092.0,0,pink
2889,290000.0,2.0,1.0,0.24,936.0,0,pink
2890,695000.0,5.0,2.0,1.01,1705.0,0,pink
2891,525000.0,2.0,2.0,0.22,1172.0,0,pink
2892,1200000.0,3.0,2.0,0.98,1609.0,0,pink
2893,399900.0,3.0,2.0,0.23,1272.0,0,pink
2894,550000.0,3.0,3.0,0.36,1752.0,0,pink
2895,550000.0,4.0,3.0,0.28,2250.0,0,pink
2896,430000.0,3.0,2.0,0.46,1376.0,0,pink
2897,724900.0,4.0,2.0,0.27,2946.0,0,pink
2898,1950000.0,4.0,4.0,0.84,3393.0,2,dark purple
2899,699000.0,3.0,1.0,0.17,924.0,0,pink
2900,465000.0,2.0,2.0,0.32,1563.0,0,pink
2901,385000.0,2.0,1.0,0.11,848.0,0,pink
2902,1050000.0,3.0,3.0,0.46,3500.0,0,pink
2903,599900.0,2.0,2.0,0.18,1002.0,0,pink
2904,620000.0,6.0,4.0,0.17,2058.0,2,dark purple
2905,1795000.0,5.0,5.0,0.65,3615.0,2,dark purple
