,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
109890,749000.0,3.0,2.0,0.14,Milton,2186.0,1430.0,2002-02-28
109892,650000.0,3.0,2.0,0.15,Boston,2136.0,1676.0,2005-07-29
109900,599000.0,2.0,1.0,0.06,Boston,2128.0,902.0,2005-08-30
109927,899000.0,3.0,2.0,0.85,Milton,2186.0,2526.0,1983-12-06
109938,570000.0,4.0,2.0,0.02,Boston,2128.0,1728.0,2002-04-29
109944,675000.0,2.0,2.0,0.02,Boston,2127.0,887.0,2019-06-18
109952,579000.0,2.0,1.0,0.02,Boston,2127.0,695.0,2020-08-06
109969,550000.0,3.0,1.0,0.17,Dedham,2026.0,1580.0,2001-06-22
110001,3250000.0,3.0,3.0,0.04,Boston,2111.0,1882.0,2018-12-11
110013,789900.0,3.0,2.0,0.12,Milton,2186.0,1530.0,2007-06-29
110019,999000.0,4.0,4.0,0.06,Boston,2125.0,2876.0,2004-12-01
110042,1695000.0,3.0,3.0,0.05,Boston,2118.0,2040.0,2013-06-24
110057,355000.0,2.0,1.0,0.02,Boston,2136.0,877.0,2004-12-27
110059,1498000.0,2.0,2.0,0.03,Boston,2210.0,1510.0,2019-06-27
110068,675000.0,2.0,2.0,0.03,Boston,2127.0,1318.0,2009-08-21
110070,750000.0,4.0,3.0,0.06,Dedham,2026.0,2624.0,2005-02-15
110080,1299000.0,2.0,2.0,0.04,Boston,2127.0,1664.0,2018-07-27
110099,850000.0,4.0,3.0,0.12,Dedham,2026.0,2136.0,2005-03-31
110108,574900.0,4.0,3.0,0.04,Boston,2119.0,1760.0,2002-11-08
110146,919000.0,6.0,2.0,0.04,Boston,2128.0,1888.0,2005-05-16
110159,959000.0,2.0,2.0,0.02,Boston,2116.0,949.0,2005-01-27
110170,835000.0,3.0,2.0,0.04,Boston,2125.0,1716.0,2003-12-11
110172,995000.0,2.0,2.0,0.03,Boston,2118.0,1168.0,2012-11-30
110173,1589000.0,2.0,2.0,0.04,Boston,2118.0,1725.0,2009-04-30
110176,525000.0,3.0,2.0,0.17,Boston,2136.0,1024.0,1999-11-23
110219,849900.0,3.0,3.0,0.48,Dedham,2026.0,2189.0,1995-07-28
110224,523900.0,3.0,2.0,0.1,Hyde Park,2136.0,1104.0,2004-03-31
110245,760000.0,6.0,3.0,0.06,Chelsea,2150.0,1429.0,2002-12-09
110276,1050000.0,4.0,4.0,0.04,Milton,2186.0,2800.0,2004-12-23
110277,499900.0,1.0,1.0,0.01,Boston,2127.0,505.0,2001-03-01
110280,1575000.0,2.0,2.0,0.03,Boston,2111.0,1308.0,2014-01-16
110285,850000.0,2.0,2.0,0.03,Boston,2127.0,1209.0,2007-05-30
110291,879000.0,1.0,1.0,0.02,Boston,2113.0,913.0,2008-09-15
110301,549000.0,3.0,2.0,0.05,Revere,2151.0,1621.0,1984-10-07
110306,849900.0,7.0,3.0,0.12,Boston,2125.0,2941.0,1999-07-01
110320,739000.0,1.0,1.0,0.01,Boston,2116.0,642.0,2013-11-22
110326,1199000.0,5.0,5.0,0.12,Boston,2126.0,3528.0,2002-09-11
110343,520000.0,3.0,2.0,0.13,Boston,2136.0,2007.0,2008-12-30
